"testrun id","3","6","12","url for different ones"
"2785","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2785"
"7417","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7417"
"7483","good","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=7483"
"1505","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1505"
"1467","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1467"
"1589","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1589"
"1553","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1553"
"1294","good","regression","regression","http://graphs.mozilla.org/api/test/runs/values?id=1294"
"2765","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2765"
"7649","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7649"
"2731","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2731"
"1605","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1605"
"1503","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1503"
"1493","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1493"
"1558","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=1558"
"2772","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2772"
"1606","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1606"
"3051","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=3051"
"2786","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2786"
"4875","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4875"
"3567","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3567"
"3647","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3647"
"3409","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3409"
"2728","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2728"
"1458","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1458"
"1489","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1489"
"9489","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=9489"
"1518","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=1518"
"1497","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1497"
"1617","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1617"
"1566","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1566"
"2744","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2744"
"2744","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=2744"
"1566","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=1566"
"3075","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3075"
"9481","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=9481"
"1514","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1514"
"4899","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4899"
"3031","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3031"
"1728","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1728"
"2770","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2770"
"5069","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5069"
"2723","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2723"
"2752","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2752"
"7713","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7713"
"4907","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4907"
"2727","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2727"
"1474","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1474"
"1500","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1500"
"1569","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1569"
"2773","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2773"
"1294","good","good","regression","http://graphs.mozilla.org/api/test/runs/values?id=1294"
"2776","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2776"
"8655","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8655"
"2798","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2798"
"8355","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8355"
"1537","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1537"
"2796","regression","good","regression","http://graphs.mozilla.org/api/test/runs/values?id=2796"
"8383","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8383"
"3065","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3065"
"2768","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2768"
"1528","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1528"
"1539","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1539"
"4891","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4891"
"2724","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2724"
"5503","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=5503"
"2773","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2773"
"1467","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1467"
"2796","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2796"
"8421","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8421"
"7767","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7767"
"8279","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8279"
"4855","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=4855"
"4917","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=4917"
"2786","machine","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2786"
"1460","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1460"
"1543","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1543"
"2783","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2783"
"1548","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1548"
"1464","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1464"
"7629","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7629"
"8447","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8447"
"2761","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2761"
"2788","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2788"
"1483","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1483"
"2806","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2806"
"8257","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=8257"
"2766","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2766"
"1509","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1509"
"1523","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1523"
"2792","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2792"
"1595","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1595"
"5035","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=5035"
"5181","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=5181"
"2799","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2799"
"1546","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1546"
"2777","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2777"
"1565","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1565"
"1470","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=1470"
"2778","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2778"
"2778","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2778"
"3389","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=3389"
"1552","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1552"
"1580","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1580"
"2798","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2798"
"1611","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1611"
"1472","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1472"
"2735","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=2735"
"2728","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2728"
"1554","good","good","regression","http://graphs.mozilla.org/api/test/runs/values?id=1554"
"2921","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2921"
"1294","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1294"
"1555","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1555"
"1507","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1507"
"1619","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1619"
"2753","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2753"
"1465","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1465"
"2742","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2742"
"2742","regression","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2742"
"1533","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1533"
"1470","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1470"
"2745","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2745"
"1623","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=1623"
