test id,os id,3,6,runs
232,25,0.9950062422,0.9984394507,3204
232,24,0.9950155763,0.9978193146,3210
281,31,0.9950449055,0.9978321462,3229
293,31,0.9950449055,0.9972127594,3229
83,24,0.9950525665,0.9969078541,3234
293,33,0.9950617284,0.9978395062,3240
315,33,0.9951881015,0.9969378828,2286
73,21,0.9951923077,0.9977564103,3120
281,25,0.9952755906,0.997480315,3175
223,21,0.9953480504,0.9989850292,11823
287,31,0.9953545989,0.9972127594,3229
315,24,0.9956255468,0.9982502187,2286
257,37,0.9956290977,0.9978145489,3203
254,37,0.9956304619,0.9987515605,3204
287,24,0.9956438878,0.9976404392,11019
313,25,0.9956840742,0.9974104445,2317
323,31,0.9956949569,0.9993849938,1626
325,25,0.9956994292,0.9982015795,12789
83,35,0.9957703927,0.9990936556,3310
309,35,0.9957709824,0.9977228367,3074
275,21,0.9957832982,0.9995416628,10909
261,37,0.9958749656,0.9981666514,10909
230,35,0.9958874063,0.9973496619,10942
297,37,0.9960249858,0.9971607041,1761
83,31,0.9960606061,0.9981818182,3300
313,33,0.9960629921,0.9965004374,2286
73,35,0.9961538462,0.9980769231,3120
317,35,0.9961993243,0.9995777027,2368
72,31,0.9962192817,0.9981096408,3174
255,37,0.9962546816,0.997815231,3204
225,31,0.9962962963,0.9984567901,3240
275,37,0.9963224027,0.9993104505,13052
325,37,0.9963733838,0.9992116052,6342
309,37,0.9963925555,0.9991801263,12197
273,31,0.9965343415,0.9984247007,3174
225,24,0.9965354331,0.9987401575,3175
289,24,0.9965614887,0.9981796117,4944
281,33,0.9966049383,0.9987654321,3240
83,29,0.9966288691,0.9984676678,3263
230,33,0.9967159278,0.9987489249,12789
232,21,0.9967948718,0.9980769231,3120
265,35,0.9968503937,0.9990551181,3175
83,20,0.9968548749,0.9977534821,13354
281,35,0.9968769519,0.9975015615,3202
201,20,0.996877602,0.9989592007,4804
325,31,0.996892707,0.9984463535,10942
293,24,0.9969144205,0.9992739813,11019
323,21,0.9969192853,0.9987677141,1623
323,33,0.9969343961,1,1631
313,37,0.9969480109,0.998421385,9502
255,21,0.9969749748,0.9986249885,10909
309,21,0.9969814168,0.9991510235,10601
323,24,0.9969861362,0.997588909,1659
309,31,0.9970050441,0.9990542245,12688
287,21,0.9970177366,0.9991367132,12742
248,25,0.9970439189,0.9966216216,2368
85,29,0.9970712659,0.9990237553,3073
174,29,0.9970712659,0.9986983404,3073
232,33,0.9971031286,0.9994206257,1726
230,21,0.9971668799,0.9982635716,10942
261,33,0.9971786834,0.9987460815,3190
289,25,0.9972241499,0.9993060375,1441
281,24,0.9972774299,0.999183229,11019
289,33,0.9972862958,0.9993215739,1474
297,24,0.9973113762,0.9986556881,5951
257,33,0.9973757873,0.9992127362,11432
289,37,0.9974059663,0.9980544747,1542
261,35,0.9974718456,0.9986210067,13053
257,25,0.997485858,1,3182
281,21,0.9974884232,0.9991366455,12741
230,25,0.9975031211,0.9990636704,3204
72,21,0.9975077882,0.9987538941,3210
287,33,0.9975308642,0.9987654321,3240
323,25,0.9975565058,0.9993891265,1637
313,21,0.9975694444,0.9997685185,8640
254,33,0.9976407675,0.9987417427,12716
232,35,0.9976689977,1,1716
325,35,0.9976769398,0.9998451293,6457
309,33,0.9977056703,0.9993444772,3051
315,31,0.9977220957,0.9986983404,3073
230,24,0.9977564103,0.9993589744,3120
254,31,0.9977814753,1,1803
230,31,0.9977994341,0.9993712669,3181
72,25,0.9977994341,0.9987425338,3181
83,33,0.9978247359,0.9990677439,3218
281,37,0.9978308026,0.9987604586,3227
255,33,0.9978548993,0.9983911744,13053
289,31,0.9979591837,0.9979591837,1470
315,37,0.998000421,0.99894759,9502
275,31,0.9980451951,0.9993744624,12789
255,31,0.9980557356,0.9990278678,3086
275,25,0.9981261711,0.9993753904,3202
