"test","date","variance","weekday"
"v8_7 OSX64","2014-11-05","5730.8914000000068","Wednesday"
"v8_7 OSX64","2014-11-06","4434.4995240927983","Thursday"
"v8_7 OSX64","2014-11-07","6043.5934297052372","Friday"
"v8_7 OSX64","2014-11-08","14291.125833333341","Saturday"
"v8_7 OSX64","2014-11-09","7154.3279999999768","Sunday"
"v8_7 OSX64","2014-11-10","5889.2119191919346","Monday"
"v8_7 OSX64","2014-11-11","2803.3079421433322","Tuesday"
"v8_7 OSX64","2014-11-12","3520.8357231404852","Wednesday"
"v8_7 OSX64","2014-11-13","5352.9431040000018","Thursday"
"v8_7 OSX64","2014-11-14","11739.025414410675","Friday"
"v8_7 OSX64","2014-11-15","4888.8068749999384","Saturday"
"v8_7 OSX64","2014-11-16","987.96016528925747","Sunday"
"v8_7 OSX64","2014-11-17","4142.3678312601523","Monday"
"v8_7 OSX64","2014-11-18","2834.3522979797972","Tuesday"
"v8_7 OSX64","2014-11-19","4651.5668138275651","Wednesday"
"v8_7 OSX64","2014-11-20","6356.4191890495631","Thursday"
"v8_7 OSX64","2014-11-21","3703.8870637119153","Friday"
"v8_7 OSX64","2014-11-22","2680.7256000000061","Saturday"
"v8_7 OSX64","2014-11-23","2609.2183999999925","Sunday"
"v8_7 OSX64","2014-11-24","3870.5763038548639","Monday"
"v8_7 OSX64","2014-11-25","4236.871773356399","Tuesday"
"v8_7 OSX64","2014-11-26","3507.1271913580285","Wednesday"
"v8_7 OSX64","2014-11-27","6726.5326753864238","Thursday"
"v8_7 OSX64","2014-11-28","5493.7990234375029","Friday"
"v8_7 OSX64","2014-11-29","2253.1573437500301","Saturday"
"v8_7 OSX64","2014-11-30","5424.7706172839416","Sunday"
"v8_7 OSX64","2014-12-01","6363.1299063475726","Monday"
"v8_7 OSX64","2014-12-02","3179.1719834710866","Tuesday"
"v8_7 OSX64","2014-12-03","1943.1246913580026","Wednesday"
"v8_7 OSX64","2014-12-04","7754.8514240000104","Thursday"
"v8_7 OSX64","2014-12-05","6112.9142460317562","Friday"
"v8_7 OSX64","2014-12-06","4259.0323437500429","Saturday"
"v8_7 OSX64","2014-12-07","2462.4710204081857","Sunday"
"v8_7 OSX64","2014-12-08","4472.5810651974298","Monday"
"v8_7 OSX64","2014-12-09","7090.2912341407264","Tuesday"
"v8_7 OSX64","2014-12-10","8491.9991836734571","Wednesday"
"v8_7 OSX64","2014-12-11","6559.5690503652759","Thursday"
"v8_7 OSX64","2014-12-12","5926.8781488074001","Friday"
"v8_7 OSX64","2014-12-13","2631.481487603296","Saturday"
"v8_7 OSX64","2014-12-14","4251.2962130177693","Sunday"
"v8_7 OSX64","2014-12-15","6775.1423543183982","Monday"
"v8_7 OSX64","2014-12-16","6222.161274468961","Tuesday"
"v8_7 OSX64","2014-12-17","9404.5411039999944","Wednesday"
"v8_7 OSX64","2014-12-18","10324.493088155736","Thursday"
"v8_7 OSX64","2014-12-19","11224.199182692331","Friday"
"v8_7 OSX64","2014-12-20","25888.451479289892","Saturday"
"v8_7 OSX64","2014-12-21","3736.8880102040771","Sunday"
"v8_7 OSX64","2014-12-22","10510.715377604161","Monday"
"v8_7 OSX64","2014-12-23","4940.7531746890245","Tuesday"
"v8_7 OSX64","2014-12-24","21737.702422145318","Wednesday"
"v8_7 OSX64","2014-12-25","2685.0710937500039","Thursday"
"v8_7 OSX64","2014-12-26","2760.0644000000111","Friday"
"v8_7 OSX64","2014-12-27","7884.456875000008","Saturday"
"v8_7 OSX64","2014-12-28","6011.6133333333564","Sunday"
"v8_7 OSX64","2014-12-29","4864.2871360000208","Monday"
"v8_7 OSX64","2014-12-30","6871.5698979591734","Tuesday"
"v8_7 OSX64","2014-12-31","15548.920612244834","Wednesday"
"v8_7 OSX64","2015-01-01","12610.909599999952","Thursday"
"v8_7 OSX64","2015-01-02","3059.7775555555622","Friday"
"v8_7 OSX64","2015-01-03","1149.4955102040892","Saturday"
"v8_7 OSX64","2015-01-04","6894.6018181818372","Sunday"
"v8_7 OSX64","2015-01-05","6571.9898240000048","Monday"
"v8_7 Win8","2014-01-06","7398.5876844411987","Monday"
"v8_7 Win8","2014-01-07","38890.836258503376","Tuesday"
"v8_7 Win8","2014-01-08","11170.763675509426","Wednesday"
"v8_7 Win8","2014-01-09","8995.5056191467429","Thursday"
"v8_7 Win8","2014-01-10","23647.977763693998","Friday"
"v8_7 Win8","2014-01-11","9528.0743209876746","Saturday"
"v8_7 Win8","2014-01-12","10226.506153846196","Sunday"
"v8_7 Win8","2014-01-13","13464.449726516057","Monday"
"v8_7 Win8","2014-01-14","13763.658150351563","Tuesday"
"v8_7 Win8","2014-01-15","17413.057764791778","Wednesday"
"v8_7 Win8","2014-01-16","19021.188411659707","Thursday"
"v8_7 Win8","2014-01-17","9271.9707804370482","Friday"
"v8_7 Win8","2014-01-18","7026.4838888889144","Saturday"
"v8_7 Win8","2014-01-19","2460.5043750000109","Sunday"
"v8_7 Win8","2014-01-20","9773.1759096314036","Monday"
"v8_7 Win8","2014-01-21","12633.725193749991","Tuesday"
"v8_7 Win8","2014-01-22","11486.857843524007","Wednesday"
"v8_7 Win8","2014-01-23","9175.3331000000071","Thursday"
"v8_7 Win8","2014-01-24","9965.6731666666328","Friday"
"v8_7 Win8","2014-01-25","4560.2774999999674","Saturday"
"v8_7 Win8","2014-01-26","5200.0297959183936","Sunday"
"v8_7 Win8","2014-01-27","10364.959899691341","Monday"
"v8_7 Win8","2014-01-28","12283.621093750038","Tuesday"
"v8_7 Win8","2014-01-29","5790.7178808593681","Wednesday"
"v8_7 Win8","2014-01-30","6406.7699451303188","Thursday"
"v8_7 Win8","2014-01-31","8600.2009297051991","Friday"
"v8_7 Win8","2014-02-01","9208.8219082840133","Saturday"
"v8_7 Win8","2014-02-02","19932.465155555572","Sunday"
"v8_7 Win8","2014-02-03","15511.775621301786","Monday"
"v8_7 Win8","2014-02-04","9559.723099999992","Tuesday"
"v8_7 Win8","2014-02-05","9736.2703381986576","Wednesday"
"v8_7 Win8","2014-02-06","11408.167807183368","Thursday"
"v8_7 Win8","2014-02-07","13812.704135802442","Friday"
"v8_7 Win8","2014-02-08","13842.787755102052","Saturday"
"v8_7 Win8","2014-02-09","13768.117340720224","Sunday"
"v8_7 Win8","2014-02-10","11094.56660092042","Monday"
"v8_7 Win8","2014-02-11","11780.400255102022","Tuesday"
"v8_7 Win8","2014-02-12","9561.5077888888791","Wednesday"
"v8_7 Win8","2014-02-13","12429.26759637187","Thursday"
"v8_7 Win8","2014-02-14","16091.667056212997","Friday"
"v8_7 Win8","2014-02-15","5717.410865051892","Saturday"
"v8_7 Win8","2014-02-16","2585.6168749999733","Sunday"
"v8_7 Win8","2014-02-17","9934.3442247658786","Monday"
"v8_7 Win8","2014-02-18","5341.3865028355285","Tuesday"
"v8_7 Win8","2014-02-19","8886.106615110064","Wednesday"
"v8_7 Win8","2014-02-20","13076.665112960745","Thursday"
"v8_7 Win8","2014-02-21","13007.856276543209","Friday"
"v8_7 Win8","2014-02-22","2831.6880555555413","Saturday"
"v8_7 Win8","2014-02-23","8936.0975999999282","Sunday"
"v8_7 Win8","2014-02-24","8713.5349999999908","Monday"
"v8_7 Win8","2014-02-25","7730.5404972222259","Tuesday"
"v8_7 Win8","2014-02-26","8300.1601886094522","Wednesday"
"v8_7 Win8","2014-02-27","10145.898004535145","Thursday"
"v8_7 Win8","2014-02-28","5491.5183957922291","Friday"
"v8_7 Win8","2014-03-01","5430.374082840267","Saturday"
"v8_7 Win8","2014-03-02","11642.589722222125","Sunday"
"v8_7 Win8","2014-03-03","10293.791137409607","Monday"
"v8_7 Win8","2014-03-04","10970.681354262837","Tuesday"
"v8_7 Win8","2014-03-05","6921.4105991735769","Wednesday"
"v8_7 Win8","2014-03-06","10318.099209683158","Thursday"
"v8_7 Win8","2014-03-07","9734.6492036011186","Friday"
"v8_7 Win8","2014-03-08","7287.1815999999571","Saturday"
"v8_7 Win8","2014-03-09","6561.4636000000055","Sunday"
"v8_7 Win8","2014-03-10","5831.7771597633118","Monday"
"v8_7 Win8","2014-03-11","9660.6457199210872","Tuesday"
"v8_7 Win8","2014-03-12","9185.3628833792282","Wednesday"
